ID_venta,Producto,Precio,Cantidad,Fecha,Sucursal
1,Agua,27.24,2,01-05-2024,Salamanca
2,Jugo,$N/D,3,2024/05/02,Salamanca
3,Agua,$43.05,dos,2024/05/03,Salamanca
4,Yogur,27.26,1,2024-05-04,Salamanca
5,Yogur,$N/D,abc,05-05-2024,Irapuato
6,Papas,$33.58,dos,2024/05/06,Salamanca
7,Yogur,$N/D,dos,2024-05-07,Salamanca
8,Papas,$29.55,dos,08-05-2024,Salamanca
9,Papas,$14.41,abc,2024/05/09,Irapuato
10,Agua,45,abc,2024/05/10,Irapuato
11,Galletas,37.29,3u,2024-05-11,Irapuato
12,Yogur,20.54,3,2024/05/12,Salamanca
13,Agua,16,dos,13-05-2024,Irapuato
14,Refresco,35,3,14-05-2024,Irapuato
15,Jugo,$22.68,dos,2024-05-15,Irapuato
16,Pan,$46.79,3u,2024-05-16,Salamanca
17,Chocolate,$N/D,dos,2024/05/17,Salamanca
18,Jugo,$N/D,abc,2024-05-18,Salamanca
19,Agua,$N/D,5,19-05-2024,Irapuato
20,Papas,$N/D,3u,2024-05-20,Salamanca
